image,threshold,minArea,kernel,RocAuc,Prauc,Nss,IoU,Dice,MCC,Fpr95TPR,AP,BoundaryF1,RegionIoU,TimeMs,PeakMemMb
005.png,0.000,26,5,0.500,0.044,0.000,0.000,0.000,0.000,0.954,0.044,0.000,0.000,1504,104.74
008.png,0.000,26,5,0.500,0.004,0.000,0.000,0.000,0.000,0.383,0.004,0.000,0.000,989,45.86
010.png,0.000,26,5,0.500,0.004,0.000,0.000,0.000,0.000,0.361,0.004,0.000,0.000,1009,17.22
012.png,0.000,26,5,0.500,0.093,0.000,0.000,0.000,0.000,0.349,0.093,0.000,0.000,830,9.31
015.png,0.000,26,5,0.500,0.163,0.000,0.000,0.000,0.000,0.474,0.163,0.000,0.000,783,8.79
018.png,0.000,26,5,0.500,0.006,0.000,0.000,0.000,0.000,0.904,0.006,0.000,0.000,874,0.00
020.png,0.000,26,5,0.500,0.011,0.000,0.000,0.000,0.000,0.698,0.011,0.000,0.000,923,0.00
027.png,0.000,26,5,0.500,0.040,0.000,0.000,0.000,0.000,0.705,0.040,0.000,0.000,864,0.00
029.png,0.000,26,5,0.500,0.062,0.000,0.000,0.000,0.000,0.727,0.062,0.000,0.000,897,0.00
034.png,0.000,26,5,0.500,0.136,0.000,0.000,0.000,0.000,0.918,0.136,0.000,0.000,930,0.00
037.png,0.000,26,5,0.500,0.005,0.000,0.000,0.000,0.000,0.534,0.005,0.000,0.000,813,7.87
039.png,0.000,26,5,0.500,0.018,0.000,0.000,0.000,0.000,0.774,0.018,0.000,0.000,905,0.00
040.png,0.000,26,5,0.500,0.230,0.000,0.000,0.000,0.000,0.501,0.230,0.000,0.000,963,0.00
041.png,0.000,26,5,0.500,0.008,0.000,0.000,0.000,0.000,0.562,0.008,0.000,0.000,895,0.00
047.png,0.000,26,5,0.500,0.014,0.000,0.000,0.000,0.000,0.779,0.014,0.000,0.000,896,0.00
048.png,0.000,26,5,0.500,0.063,0.000,0.000,0.000,0.000,0.785,0.063,0.000,0.000,931,0.00
053.png,0.000,26,5,0.500,0.028,0.000,0.000,0.000,0.000,0.959,0.028,0.000,0.000,886,0.00
054.png,0.000,26,5,0.500,0.066,0.000,0.000,0.000,0.000,0.953,0.066,0.000,0.000,815,0.00
058.png,0.000,26,5,0.500,0.013,0.000,0.000,0.000,0.000,0.889,0.013,0.000,0.000,882,0.00
062.png,0.000,26,5,0.500,0.062,0.000,0.000,0.000,0.000,0.727,0.062,0.000,0.000,909,0.00
074.png,0.000,26,5,0.500,0.098,0.000,0.000,0.000,0.000,0.902,0.098,0.000,0.000,763,0.00
084.png,0.000,26,5,0.500,0.012,0.000,0.000,0.000,0.000,0.973,0.012,0.000,0.000,876,0.00
087.png,0.000,26,5,0.500,0.029,0.000,0.000,0.000,0.000,0.399,0.029,0.000,0.000,801,0.00
090.png,0.000,26,5,0.500,0.066,0.000,0.000,0.000,0.000,0.782,0.066,0.000,0.000,756,0.68
094.png,0.000,26,5,0.500,0.016,0.000,0.000,0.000,0.000,0.886,0.016,0.000,0.000,902,0.00
095.png,0.000,26,5,0.500,0.005,0.000,0.000,0.000,0.000,0.888,0.005,0.000,0.000,856,0.00
