Image,Threshold,MinArea,Kernel,RocAuc,Prauc,Nss,IoU,Dice,Mcc,Bf1,Fpr95,Ap,BoundaryF1,RegionIoU,TimeMs,PeakMemMb
00010_fake_02.png,0.850,50,3,0.277,0.334,-0.384,0.000,0.000,0.000,0.000,0.997,0.334,0.000,0.000,6243,174.99
00028_fake.jpg,0.200,100,5,0.576,0.005,0.271,0.006,0.011,0.021,0.011,0.939,0.005,0.008,0.001,3633,32.57
00031_fake.jpg,0.850,50,3,0.323,0.026,-0.473,0.000,0.000,0.000,0.000,0.890,0.026,0.000,0.000,2145,0.00
00056_fake.jpg,0.200,100,5,0.690,0.016,0.701,0.028,0.054,0.123,0.054,0.804,0.016,0.002,0.001,9963,0.00
00057_fake.jpg,0.300,100,5,0.617,0.403,0.549,0.466,0.636,0.622,0.636,0.962,0.403,0.371,0.054,827,0.00
00064_fake.jpg,0.700,50,3,0.417,0.290,-0.174,0.000,0.000,0.000,0.000,0.912,0.290,0.000,0.000,3168,7.80
00109_fake.jpg,0.400,50,3,0.807,0.153,1.286,0.171,0.292,0.332,0.292,0.701,0.153,0.319,0.011,5130,77.50
c8u4gpd_0.jpg,0.850,50,3,0.362,0.538,-0.172,0.000,0.000,0.000,0.000,0.974,0.538,0.000,0.000,2050,0.00
c8v1094_0.png,0.150,100,5,0.954,0.690,1.906,0.753,0.859,0.843,0.859,0.178,0.690,0.287,0.253,3420,0.00
c8vqhe0_0.jpg,0.150,100,5,0.762,0.363,0.748,0.305,0.467,0.355,0.467,0.633,0.363,0.005,0.015,3621,0.00
c8wu4jn_0.jpg,0.100,100,5,0.583,0.017,0.273,0.020,0.039,0.077,0.039,0.891,0.017,0.010,0.001,6122,0.00
c8wyxuh_0.jpg,0.850,50,3,0.466,0.718,-0.043,0.000,0.000,0.000,0.000,0.954,0.718,0.000,0.000,4417,0.00
c8xbjz3_0.jpg,0.250,100,5,0.588,0.202,0.334,0.152,0.264,0.212,0.264,0.930,0.202,0.147,0.004,6056,0.00
c8xgnf4_0.jpg,0.200,100,5,0.736,0.068,0.980,0.116,0.208,0.215,0.208,0.700,0.068,0.096,0.012,5031,0.00
c8xkcsl_0.jpg,0.850,50,3,0.476,0.158,-0.158,0.000,0.000,0.000,0.000,0.951,0.158,0.000,0.000,5133,0.00
c8zu1fj_0.jpg,0.100,50,3,0.702,0.031,0.602,0.027,0.052,0.096,0.052,0.641,0.031,0.001,0.001,4820,0.00
c909zbe_0.jpg,0.200,100,5,0.652,0.107,0.652,0.133,0.234,0.196,0.234,0.843,0.107,0.098,0.004,36355,236.03
c90k1ai_0.jpg,0.100,100,5,0.664,0.431,0.329,0.411,0.582,0.343,0.582,0.777,0.431,0.041,0.051,8278,131.94
c92uvo3_0.jpg,0.450,50,3,0.768,0.105,1.094,0.053,0.100,0.226,0.100,0.609,0.105,0.018,0.053,3923,84.62
c92zvkq_0.jpg,0.250,100,5,0.717,0.165,0.993,0.159,0.274,0.323,0.274,0.821,0.165,0.208,0.016,10613,34.25
c94a4qa_0.jpg,0.300,50,3,0.349,0.101,-0.322,0.002,0.004,-0.001,0.004,0.998,0.101,0.103,0.000,21072,0.00
c94s183_0.jpg,0.100,100,5,0.705,0.064,0.642,0.060,0.114,0.178,0.114,0.797,0.064,0.007,0.004,3170,0.00
c956l7o_0.png,0.200,100,5,0.563,0.074,0.292,0.107,0.193,0.153,0.193,0.954,0.074,0.178,0.009,4406,0.00
c97knp0_0.jpg,0.150,100,5,0.630,0.167,0.398,0.150,0.261,0.169,0.261,0.830,0.167,0.097,0.010,5005,0.00
c98qgm4_0.jpg,0.150,100,5,0.720,0.021,0.765,0.027,0.052,0.126,0.052,0.762,0.021,0.002,0.001,10266,0.00
c99k5bh_0.jpg,0.850,50,3,0.248,0.032,-0.701,0.000,0.000,0.000,0.000,0.990,0.032,0.000,0.000,16548,0.00
c9abglu_0.jpg,0.100,50,3,0.737,0.055,0.485,0.066,0.123,0.189,0.123,0.478,0.055,0.069,0.004,3200,0.00
c9e4ble_0.jpg,0.100,50,3,0.547,0.394,0.070,0.335,0.502,0.133,0.502,0.923,0.394,0.055,0.003,8398,0.00
c9g9t6z_0.jpg,0.200,100,5,0.966,0.367,3.494,0.605,0.754,0.751,0.754,0.115,0.367,0.518,0.150,6735,0.00
c9gd5k9_0.jpg,0.150,100,5,0.578,0.036,0.282,0.038,0.073,0.089,0.073,0.960,0.036,0.007,0.002,52677,0.00
c9hsiyf_0.jpg,0.100,50,3,0.606,0.176,0.292,0.153,0.266,0.133,0.266,0.839,0.176,0.000,0.002,7304,0.00
c9juyz1_0.jpg,0.100,100,5,0.944,0.832,3.232,0.812,0.896,0.893,0.896,0.463,0.832,0.570,0.780,7641,78.96
c9o3qze_0.jpg,0.850,50,3,0.455,0.067,-0.186,0.000,0.000,0.000,0.000,0.898,0.067,0.000,0.000,3047,68.88
c9qhtma_0.jpg,0.800,50,3,0.489,0.168,-0.102,0.000,0.000,0.000,0.000,0.908,0.168,0.000,0.000,2522,55.62
c9qn2pn_0.jpg,0.100,100,5,0.628,0.057,0.259,0.080,0.148,0.183,0.148,0.721,0.057,0.022,0.012,3424,66.25
c9r2mxr_0.jpg,0.100,50,3,0.709,0.046,0.564,0.062,0.116,0.134,0.116,0.786,0.046,0.020,0.001,58800,173.85
c9rsftz_0.jpg,0.400,100,5,0.473,0.005,-0.045,0.000,0.000,0.000,0.000,0.999,0.005,0.000,0.000,11255,0.00
c9sevmb_0.jpg,0.150,100,5,0.772,0.487,0.749,0.438,0.609,0.492,0.609,0.656,0.487,0.096,0.019,8246,0.00
c9sl9vi_0.jpg,0.100,100,5,0.782,0.077,0.870,0.076,0.141,0.126,0.141,0.618,0.077,0.045,0.009,14014,0.00
c9t437l_0.jpg,0.850,50,3,0.219,0.096,-0.731,0.000,0.000,0.000,0.000,0.997,0.096,0.000,0.000,6824,0.00
